Mass: 5.082878E12 kg
Diameter: 8.279641 m

Time (s)	Acceleration (m/s²)	Velocity (m/s)	Position (m, m)		Forces felt (MN)
2.79		0.90			2.58		(662.20, 92.56)		4452183.97
2.79		0.90			4.51		(662.20, 92.58)		4454545.25
2.80		0.90			2.31		(662.20, 92.61)		4456946.19
2.81		0.90			5.11		(662.20, 92.63)		4459365.36
2.82		0.90			2.18		(662.20, 92.66)		4461831.43
2.82		0.90			6.26		(662.20, 92.68)		4464317.15
2.84		0.90			2.06		(662.21, 92.71)		4466858.03
2.84		0.90			7.29		(662.21, 92.73)		4469420.98
2.85		0.90			1.96		(662.21, 92.76)		4472047.68
2.86		0.90			9.37		(662.21, 92.79)		4474698.83
2.87		0.90			1.89		(662.21, 92.81)		4477421.87
2.87		0.90			11.90		(662.21, 92.84)		4480172.37
2.89		0.90			1.82		(662.21, 92.87)		4483004.21
2.89		0.90			17.07		(662.22, 92.89)		4485867.30
2.90		0.91			1.76		(662.22, 92.92)		4488821.50
2.91		0.91			3.18		(662.22, 92.94)		4491828.94
2.92		0.91			3.19		(662.22, 92.97)		4494892.31
2.93		0.91			3.21		(662.22, 93.00)		4498014.70
2.94		0.91			3.44		(662.22, 93.02)		4501197.11
2.94		0.91			3.02		(662.23, 93.05)		4504447.14
2.95		0.91			3.38		(662.23, 93.08)		4507762.67
2.96		0.91			3.11		(662.23, 93.10)		4511148.58
2.97		0.91			4.16		(662.23, 93.13)		4514597.36
2.98		0.91			2.66		(662.23, 93.16)		4518128.23
2.98		0.91			4.66		(662.23, 93.19)		4521724.77
2.99		0.91			2.50		(662.24, 93.21)		4525413.02
3.00		0.91			5.09		(662.24, 93.24)		4529170.60
3.01		0.91			2.43		(662.24, 93.27)		4533028.01
3.02		0.92			6.04		(662.24, 93.29)		4536957.67
3.03		0.92			2.27		(662.24, 93.32)		4540998.75
3.03		0.92			6.87		(662.24, 93.35)		4545116.26
3.04		0.92			2.19		(662.25, 93.38)		4549355.19
3.05		0.92			8.30		(662.25, 93.41)		4553674.67
3.06		0.92			2.08		(662.25, 93.43)		4558127.34
3.06		0.92			11.05		(662.25, 93.46)		4562665.06
3.08		0.92			1.99		(662.25, 93.49)		4567352.14
3.08		0.92			13.79		(662.26, 93.52)		4572129.04
3.09		0.92			1.92		(662.26, 93.54)		4577063.70
3.10		0.92			21.13		(662.26, 93.57)		4582093.16
3.11		0.93			1.86		(662.26, 93.60)		4587293.12
3.11		0.93			23.68		(662.26, 93.63)		4592593.33
3.13		0.93			1.85		(662.27, 93.66)		4598072.78
3.14		0.93			3.45		(662.27, 93.69)		4603685.36
3.14		0.93			3.75		(662.27, 93.72)		4609431.64
3.15		0.93			3.19		(662.27, 93.74)		4615316.01
3.16		0.93			3.87		(662.27, 93.77)		4621332.69
3.17		0.93			3.16		(662.28, 93.80)		4627493.91
3.18		0.93			4.59		(662.28, 93.83)		4633787.49
3.19		0.94			2.82		(662.28, 93.86)		4640238.91
3.19		0.94			5.30		(662.28, 93.89)		4646824.53
3.20		0.94			2.62		(662.28, 93.92)		4653580.39
3.21		0.94			5.28		(662.29, 93.95)		4660476.06
3.22		0.94			2.64		(662.29, 93.98)		4667548.25
3.22		0.94			6.55		(662.29, 94.01)		4674761.63
3.24		0.94			2.43		(662.29, 94.04)		4682093.58
3.24		0.95			8.48		(662.30, 94.06)		4689288.87
3.25		0.95			2.26		(662.30, 94.09)		4696355.81
3.26		0.95			10.31		(662.30, 94.12)		4703310.23
3.27		0.95			2.17		(662.30, 94.15)		4710376.83
3.27		0.95			13.42		(662.31, 94.18)		4717533.60
3.29		0.95			2.08		(662.31, 94.21)		4724864.74
3.29		0.95			18.38		(662.31, 94.24)		4732286.33
3.30		0.96			2.02		(662.31, 94.27)		4739891.41
3.31		0.96			3.64		(662.32, 94.30)		4747615.54
3.32		0.96			3.69		(662.32, 94.33)		4755458.68
3.33		0.96			3.64		(662.32, 94.37)		4763422.53
3.34		0.96			3.68		(662.32, 94.40)		4771507.64
3.34		0.96			3.66		(662.33, 94.43)		4779715.35
3.35		0.97			3.91		(662.33, 94.46)		4788042.51
3.36		0.97			3.49		(662.33, 94.49)		4796497.13
3.37		0.97			4.73		(662.33, 94.52)		4805063.76
3.38		0.97			3.04		(662.34, 94.55)		4813771.14
3.38		0.97			4.98		(662.34, 94.58)		4822595.00
3.39		0.97			2.96		(662.34, 94.61)		4831571.65
3.40		0.98			5.59		(662.35, 94.64)		4840663.35
3.41		0.98			2.81		(662.35, 94.67)		4849911.75
3.42		0.98			6.88		(662.35, 94.70)		4859265.28
3.43		0.98			2.58		(662.35, 94.73)		4868786.55
3.43		0.98			7.44		(662.36, 94.77)		4878413.23
3.44		0.99			2.53		(662.36, 94.80)		4888214.00
3.45		0.99			8.87		(662.36, 94.83)		4898118.13
3.46		0.99			2.41		(662.37, 94.86)		4908207.24
3.46		0.99			11.00		(662.37, 94.89)		4918399.74
3.48		0.99			2.28		(662.37, 94.92)		4928793.18
3.48		1.00			15.74		(662.38, 94.96)		4939291.28
3.49		1.00			2.21		(662.38, 94.99)		4950003.61
3.50		1.00			24.76		(662.38, 95.02)		4960821.73
3.51		1.00			2.11		(662.39, 95.05)		4971871.04
3.51		1.00			27.48		(662.39, 95.08)		4983028.41
3.53		1.01			2.10		(662.39, 95.12)		4994424.95
3.54		1.01			3.91		(662.40, 95.15)		5005970.31
3.54		1.01			4.36		(662.40, 95.18)		5017658.41
3.55		1.01			3.54		(662.40, 95.21)		5029506.98
3.56		1.02			4.38		(662.41, 95.25)		5041501.18
3.57		1.02			3.61		(662.41, 95.28)		5053658.00
3.58		1.02			4.76		(662.41, 95.31)		5065959.05
3.59		1.02			3.39		(662.42, 95.34)		5078433.12
3.59		1.03			5.26		(662.42, 95.38)		5091051.34
3.60		1.03			3.15		(662.43, 95.41)		5103858.29
3.61		1.03			6.04		(662.43, 95.44)		5116807.23
3.62		1.03			2.97		(662.43, 95.48)		5129956.65
3.62		1.04			6.94		(662.44, 95.51)		5143245.37
3.64		1.04			2.86		(662.44, 95.54)		5156745.66
3.64		1.04			9.56		(662.44, 95.58)		5170382.04
3.65		1.05			2.56		(662.45, 95.61)		5184257.60
3.66		1.05			11.76		(662.45, 95.64)		5198270.62
3.67		1.05			2.45		(662.46, 95.68)		5212540.19
3.67		1.05			15.46		(662.46, 95.71)		5226949.19
3.69		1.06			2.34		(662.46, 95.74)		5241635.68
3.69		1.06			23.21		(662.47, 95.78)		5256464.35
3.70		1.06			2.26		(662.47, 95.81)		5271590.83
3.71		1.07			4.11		(662.48, 95.84)		5286912.77
3.72		1.07			4.15		(662.48, 95.88)		5302429.43
3.73		1.07			4.12		(662.49, 95.91)		5318144.09
3.74		1.08			4.37		(662.49, 95.95)		5334053.90
3.74		1.08			3.97		(662.49, 95.98)		5350171.01
3.75		1.08			4.83		(662.50, 96.02)		5366480.88
3.76		1.09			3.65		(662.50, 96.05)		5383014.68
3.77		1.09			5.36		(662.51, 96.09)		5399739.98
3.78		1.09			3.44		(662.51, 96.12)		5416704.27
3.78		1.10			5.99		(662.52, 96.15)		5433859.12
3.79		1.10			3.24		(662.52, 96.19)		5451270.86
3.80		1.10			6.31		(662.53, 96.22)		5468877.47
3.81		1.11			3.17		(662.53, 96.26)		5486753.34
3.82		1.11			7.18		(662.54, 96.29)		5504823.69
3.83		1.11			3.01		(662.54, 96.33)		5523181.72
3.83		1.12			8.42		(662.55, 96.36)		5541734.41
3.84		1.12			2.86		(662.55, 96.40)		5560596.86
3.85		1.13			9.97		(662.55, 96.43)		5579612.66
3.86		1.13			2.73		(662.56, 96.47)		5598909.50
3.86		1.13			13.84		(662.56, 96.51)		5618403.47
3.88		1.14			2.56		(662.57, 96.54)		5638261.76
3.88		1.14			14.11		(662.58, 96.58)		5658323.93
3.89		1.15			2.56		(662.58, 96.61)		5678763.36
3.90		1.15			26.68		(662.59, 96.65)		5699410.19
3.91		1.15			2.38		(662.59, 96.68)		5720477.90
3.92		1.16			4.40		(662.60, 96.72)		5741822.28
3.93		1.16			4.39		(662.60, 96.76)		5763447.52
3.94		1.17			4.40		(662.61, 96.79)		5785357.73
3.94		1.17			4.76		(662.61, 96.83)		5807547.26
3.95		1.18			4.09		(662.62, 96.87)		5830041.14
3.96		1.18			5.27		(662.62, 96.90)		5852812.69
